danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.339,0.495,5,-6.374,1,0.0325,0.379,0,0.102,0.121,134.336,audio_features,0TiUwSybDflJu4Qe2AUoGD,spotify:track:0TiUwSybDflJu4Qe2AUoGD,https://api.spotify.com/v1/tracks/0TiUwSybDflJu4Qe2AUoGD,https://api.spotify.com/v1/audio-analysis/0TiUwSybDflJu4Qe2AUoGD,262760,4,
0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,audio_features,0Jlcvv8IykzHaSmj49uNW8,spotify:track:0Jlcvv8IykzHaSmj49uNW8,https://api.spotify.com/v1/tracks/0Jlcvv8IykzHaSmj49uNW8,https://api.spotify.com/v1/audio-analysis/0Jlcvv8IykzHaSmj49uNW8,210252,4,
0.38,0.257,7,-8.4,1,0.0322,0.544,0,0.117,0.112,146.174,audio_features,3AM6AoxPgPyXKCiCjKe1BM,spotify:track:3AM6AoxPgPyXKCiCjKe1BM,https://api.spotify.com/v1/tracks/3AM6AoxPgPyXKCiCjKe1BM,https://api.spotify.com/v1/audio-analysis/3AM6AoxPgPyXKCiCjKe1BM,276800,3,
0.497,0.923,2,-4.512,1,0.138,0.00282,0,0.158,0.663,181.074,audio_features,0aZJGkkXR3DgaFqo5sB8ot,spotify:track:0aZJGkkXR3DgaFqo5sB8ot,https://api.spotify.com/v1/tracks/0aZJGkkXR3DgaFqo5sB8ot,https://api.spotify.com/v1/audio-analysis/0aZJGkkXR3DgaFqo5sB8ot,198000,4,
0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,audio_features,0lx2cLdOt3piJbcaXIV74f,spotify:track:0lx2cLdOt3piJbcaXIV74f,https://api.spotify.com/v1/tracks/0lx2cLdOt3piJbcaXIV74f,https://api.spotify.com/v1/audio-analysis/0lx2cLdOt3piJbcaXIV74f,214707,4,
0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036,audio_features,5Apvsk0suoivI1H8CmBglv,spotify:track:5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/tracks/5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/audio-analysis/5Apvsk0suoivI1H8CmBglv,217480,4,
0.634,0.505,0,-7.753,0,0.0341,0.506,1.8e-06,0.116,0.136,89.045,audio_features,614GWtz7F9A61E9OPZqNkU,spotify:track:614GWtz7F9A61E9OPZqNkU,https://api.spotify.com/v1/tracks/614GWtz7F9A61E9OPZqNkU,https://api.spotify.com/v1/audio-analysis/614GWtz7F9A61E9OPZqNkU,218827,4,
0.458,0.137,8,-14.083,1,0.0355,0.882,0,0.15,0.437,80.824,audio_features,6hYvw3LLTViP2mT4MpDNmT,spotify:track:6hYvw3LLTViP2mT4MpDNmT,https://api.spotify.com/v1/tracks/6hYvw3LLTViP2mT4MpDNmT,https://api.spotify.com/v1/audio-analysis/6hYvw3LLTViP2mT4MpDNmT,249427,4,
0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,audio_features,2Eeur20xVqfUoM3Q7EFPFt,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,https://api.spotify.com/v1/tracks/2Eeur20xVqfUoM3Q7EFPFt,https://api.spotify.com/v1/audio-analysis/2Eeur20xVqfUoM3Q7EFPFt,230999,4,
0.381,0.502,1,-5.505,0,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,audio_features,1djzKW3eYLyzjjHXazEWWh,spotify:track:1djzKW3eYLyzjjHXazEWWh,https://api.spotify.com/v1/tracks/1djzKW3eYLyzjjHXazEWWh,https://api.spotify.com/v1/audio-analysis/1djzKW3eYLyzjjHXazEWWh,237800,4,
