danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,
0.354,0.426,6,-8.704,0,0.0295,0.782,0.11,0.115,0.185,98.062,audio_features,5Pkn31exSVgFbfDAH961QC,spotify:track:5Pkn31exSVgFbfDAH961QC,https://api.spotify.com/v1/tracks/5Pkn31exSVgFbfDAH961QC,https://api.spotify.com/v1/audio-analysis/5Pkn31exSVgFbfDAH961QC,331400,3,
0.381,0.502,1,-5.505,0,0.0368,0.16,6.98e-05,0.0842,0.147,144.3,audio_features,1djzKW3eYLyzjjHXazEWWh,spotify:track:1djzKW3eYLyzjjHXazEWWh,https://api.spotify.com/v1/tracks/1djzKW3eYLyzjjHXazEWWh,https://api.spotify.com/v1/audio-analysis/1djzKW3eYLyzjjHXazEWWh,237800,4,
0.397,0.538,2,-6.503,0,0.0339,0.179,0.148,0.113,0.247,154.342,audio_features,6ctlpLPyLH3R1V16fxoOWE,spotify:track:6ctlpLPyLH3R1V16fxoOWE,https://api.spotify.com/v1/tracks/6ctlpLPyLH3R1V16fxoOWE,https://api.spotify.com/v1/audio-analysis/6ctlpLPyLH3R1V16fxoOWE,206547,4,
0.399,0.673,0,-5.506,1,0.0509,0.584,2.44e-05,0.118,0.285,142.255,audio_features,5aRZk9oWIYUB5alrTs8TTV,spotify:track:5aRZk9oWIYUB5alrTs8TTV,https://api.spotify.com/v1/tracks/5aRZk9oWIYUB5alrTs8TTV,https://api.spotify.com/v1/audio-analysis/5aRZk9oWIYUB5alrTs8TTV,283467,5,
0.499,0.769,1,-5.576,1,0.0522,0.00416,0.0274,0.117,0.333,110.835,audio_features,5tCtCqWcXBf7eoIunSxlO8,spotify:track:5tCtCqWcXBf7eoIunSxlO8,https://api.spotify.com/v1/tracks/5tCtCqWcXBf7eoIunSxlO8,https://api.spotify.com/v1/audio-analysis/5tCtCqWcXBf7eoIunSxlO8,224147,3,
0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,audio_features,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4,
0.502,0.445,8,-7.622,1,0.0294,0.161,0.000466,0.111,0.377,88.866,audio_features,094As2ygiOxXxzcyAna3Lk,spotify:track:094As2ygiOxXxzcyAna3Lk,https://api.spotify.com/v1/tracks/094As2ygiOxXxzcyAna3Lk,https://api.spotify.com/v1/audio-analysis/094As2ygiOxXxzcyAna3Lk,225227,4,
0.443,0.533,7,-5.956,1,0.0473,0.429,3.66e-06,0.332,0.596,183.791,audio_features,2DNXgvkyv35vTWvdgjs7qn,spotify:track:2DNXgvkyv35vTWvdgjs7qn,https://api.spotify.com/v1/tracks/2DNXgvkyv35vTWvdgjs7qn,https://api.spotify.com/v1/audio-analysis/2DNXgvkyv35vTWvdgjs7qn,222813,4,
0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036,audio_features,5Apvsk0suoivI1H8CmBglv,spotify:track:5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/tracks/5Apvsk0suoivI1H8CmBglv,https://api.spotify.com/v1/audio-analysis/5Apvsk0suoivI1H8CmBglv,217480,4,
0.373,0.393,10,-8.462,0,0.0319,0.509,0.0623,0.105,0.272,71.749,audio_features,2AEKTA8tQnXUullpmN8NkL,spotify:track:2AEKTA8tQnXUullpmN8NkL,https://api.spotify.com/v1/tracks/2AEKTA8tQnXUullpmN8NkL,https://api.spotify.com/v1/audio-analysis/2AEKTA8tQnXUullpmN8NkL,254773,4,
